Frame Number,Player Coordinates,Resp Team,Ball Coordinates,Distance
13,"[209.86340304913878, 299.234882327628]",0,"[132.16637893271945, 342.9165614551609]",89.13426191957944
13,"[142.28747930125024, 309.60735203558806]",0,"[132.16637893271945, 342.9165614551609]",34.812930138482066
13,"[130.99307309128483, 340.7348449066519]",1,"[132.16637893271945, 342.9165614551609]",2.4772027966201158
13,"[168.05452192609673, 363.9879023118981]",1,"[132.16637893271945, 342.9165614551609]",41.616826080491734
13,"[178.57477319372302, 240.87907938632108]",0,"[132.16637893271945, 342.9165614551609]",112.09543614631933
13,"[154.1642501551911, 382.0758747386994]",0,"[132.16637893271945, 342.9165614551609]",44.91501035465494
13,"[184.88703011728606, 374.58328090261426]",0,"[132.16637893271945, 342.9165614551609]",61.49998521860364
13,"[162.97243710254324, 69.94591923071981]",1,"[132.16637893271945, 342.9165614551609]",274.70344871585866
14,"[144.96005686231084, 240.6441322368095]",1,"[132.16637893271945, 342.9165614551609]",103.06952979997924
14,"[196.53037313300504, 185.51751609892543]",1,"[132.16637893271945, 342.9165614551609]",170.05053139719578
14,"[243.51015684574944, 217.80635221477314]",1,"[132.16637893271945, 342.9165614551609]",167.4813462333037
14,"[154.06411131910093, 508.69265459038974]",0,"[132.16637893271945, 342.9165614551609]",167.21609892245917
14,"[194.69593090689312, 359.1912393854185]",1,"[132.16637893271945, 342.9165614551609]",64.61276972723348
14,"[200.45868041685262, 375.19084367432913]",1,"[132.16637893271945, 342.9165614551609]",75.53454663107641
